S-1	S-10	S-11	S-12	S-17	S-18	S-19	S-2	S-20	S-21	S-22	S-23	S-24	S-25	S-26	S-27	S-28	S-29	S-3	S-30	S-31	S-32	S-33	S-34	S-35	S-36	S-37	S-38	S-39	S-4	S-40	S-5	S-6	S-7	S-8	S-9	taxonomy
11	0	202	370	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Ectothiorhodospiraceae; Halofilum
6	47	0	2	5	1	0	0	5	0	13	9	1	93	8	368	0	23	4	0	27	50	9	0	2	3	0	0	0	10	0	4	20	0	14	2	Proteobacteria; Gammaproteobacteria; Oceanospirillales; Kangiellaceae; Kangiella
0	0	0	0	0	0	367	0	2	4	10	0	0	0	0	9	68	0	0	0	0	18	0	1	0	0	0	0	0	7	0	18	0	37	11	0	Acidobacteriota; Thermoanaerobaculia; Thermoanaerobaculales; Thermoanaerobaculaceae; Subgroup 10
5	1	0	0	55	2	0	2	0	2	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	21	0	2	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Aestuariicella
0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	365	0	0	0	0	0	0	1	0	0	0	4	0	0	0	22	0	0	Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
0	101	0	0	0	0	0	2	77	0	0	15	359	234	5	14	0	1	14	0	0	0	4	0	64	356	1	1	0	0	1	0	3	0	0	7	Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Candidatus Thiobios
3	23	0	0	0	0	21	0	31	0	4	358	89	20	174	19	0	16	2	0	3	0	268	0	9	11	1	0	30	1	1	15	8	0	3	249	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; Sva0081 sediment group
0	1	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	358	6	1	0	0	4	0	0	7	0	1	2	0	1	1	3	3	1	Bacteroidota; Bacteroidia; Chitinophagales; Saprospiraceae; Lewinella
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae
4	0	6	6	0	14	1	2	0	1	3	0	0	0	0	1	4	0	0	0	355	0	0	3	0	0	26	0	0	1	1	0	0	1	1	0	Cyanobacteria; Cyanobacteriia; Cyanobacteriales
42	10	5	0	143	37	241	7	19	57	266	10	4	2	7	78	125	3	109	0	23	235	8	43	11	8	1	0	42	142	0	228	152	348	65	11	Proteobacteria; Alphaproteobacteria
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	348	0	22	0	0	0	0	0	0	0	1	0	2	5	0	0	0	0	0	Actinobacteriota; Actinobacteria; Frankiales; Geodermatophilaceae; Blastococcus
343	1	102	16	1	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	16	0	Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae
3	168	0	0	0	0	0	5	339	1	1	24	192	191	13	112	1	2	20	0	0	0	15	0	93	116	1	0	0	0	1	6	6	0	1	17	Proteobacteria; Gammaproteobacteria
28	4	0	0	14	10	254	0	9	3	215	2	1	2	0	23	170	1	10	0	8	33	0	3	11	0	0	0	1	53	0	338	145	139	9	0	Proteobacteria; Alphaproteobacteria; Kiloniellales; Kiloniellaceae; Limibacillus
0	0	1	0	10	85	0	0	6	43	32	0	0	0	0	0	0	0	108	0	74	0	0	3	0	1	335	0	0	0	0	0	0	0	42	0	Proteobacteria; Gammaproteobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	335	1	0	1	1	0	0	2	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
1	0	0	0	4	1	0	0	2	0	2	3	2	0	1	6	2	1	3	6	4	31	333	8	265	6	0	2	165	4	4	1	4	3	3	4	Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
0	332	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteroidota; Bacteroidia; Bacteroidales; Prolixibacteraceae; Draconibacterium
330	0	88	28	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae
0	322	0	0	0	0	0	4	100	0	0	6	58	58	33	11	0	0	26	0	0	0	6	0	85	157	0	0	1	2	0	2	2	0	0	25	Desulfobacterota; Desulfuromonadia; Sva1033
0	0	321	35	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	45	0	0	6	0	0	0	0	0	59	2	0	0	313	0	0	0	0	0	Actinobacteriota
18	4	2	0	10	25	58	1	6	4	251	2	3	6	0	6	15	0	15	0	23	6	2	0	7	1	0	0	5	312	0	27	33	289	14	4	Proteobacteria; Gammaproteobacteria; JTB23
33	0	75	309	0	10	0	21	0	1	4	0	0	0	0	0	0	19	1	2	104	0	0	2	0	0	79	6	0	8	1	0	0	2	13	0	Actinobacteriota; Actinobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	305	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	32	0	0	0	73	0	1	Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	0	294	0	0	0	0	0	Proteobacteria; Gammaproteobacteria
97	0	16	0	121	173	1	9	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	291	3	0	Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae
2	157	0	0	0	0	0	10	272	0	1	10	201	146	8	64	1	3	24	0	3	0	9	0	141	290	0	0	0	1	0	4	11	0	1	13	Proteobacteria; Gammaproteobacteria
2	0	0	0	21	11	0	1	1	38	2	43	0	0	3	0	1	35	13	48	5	6	22	77	2	1	9	279	4	1	7	1	1	5	7	18	Proteobacteria; Alphaproteobacteria; Rhizobiales; Methyloligellaceae; Methyloceanibacter
0	0	279	124	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Ectothiorhodospiraceae; Halofilum
1	87	0	0	0	0	47	0	213	0	2	278	159	58	150	62	0	4	13	0	2	0	103	0	47	47	0	0	28	2	1	11	11	0	1	173	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; SEEP-SRB1
0	0	7	0	4	1	0	0	0	6	12	0	0	0	0	0	0	0	8	0	42	0	0	5	0	0	278	0	0	0	1	0	0	0	1	0	Proteobacteria; Gammaproteobacteriaitrosococcalesitrosococcaceae; Cm1-21
24	224	0	1	0	0	1	9	165	1	1	51	233	161	33	22	0	0	18	0	4	0	31	0	138	277	0	0	9	5	0	9	41	0	0	45	Desulfobacterota; Desulfuromonadia; Sva1033
0	0	3	0	3	3	0	0	0	6	8	0	1	0	0	0	0	0	2	0	79	0	0	46	0	0	277	16	0	0	0	0	0	0	11	0	Actinobacteriota; Actinobacteria
0	0	0	0	1	0	0	0	0	0	0	276	2	1	28	0	0	1	0	0	0	0	38	0	0	0	0	0	3	0	0	0	0	1	0	125	Proteobacteria; Gammaproteobacteria; Run-SP154
3	126	0	0	0	0	0	3	276	0	0	20	176	198	26	79	1	2	20	0	2	0	23	0	117	174	1	0	0	3	0	6	21	0	1	18	Proteobacteria; Gammaproteobacteria
3	2	0	0	0	0	50	0	0	0	1	270	16	3	108	9	1	4	0	0	1	0	275	0	2	3	0	0	138	0	2	37	21	0	0	234	Proteobacteria; Gammaproteobacteria; B2M28
5	1	2	1	1	5	9	0	11	45	272	19	96	5	7	26	11	1	3	0	39	4	0	0	0	1	0	0	35	11	0	1	1	1	0	0	Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Catenococcus
0	0	15	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria
1	20	0	0	0	0	0	3	30	0	0	1	19	266	5	16	0	0	7	0	26	0	3	0	0	1	0	0	0	1	0	2	8	0	27	1	Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Thioalkalispiraceae; Thioalkalispira-Sulfurivermis
266	0	34	132	1	8	0	28	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15	0	0	85	0	0	0	0	18	0	Proteobacteria; Alphaproteobacteria; Kiloniellales; Fodinicurvataceae; Rhodovibrio
132	11	5	0	0	0	0	265	48	0	1	0	0	1	0	9	0	0	3	0	11	0	0	0	0	0	0	0	0	118	0	2	2	0	0	0	Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae
1	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	41	4	15	10	0	0	4	0	0	8	265	0	0	161	1	1	0	4	0	Proteobacteria; Alphaproteobacteria
0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	9	0	1	15	0	0	36	0	0	4	261	0	0	15	0	0	0	0	0	Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Crossiella
15	0	0	0	258	56	35	1	0	1	16	1	1	0	3	4	14	0	1	0	1	0	9	0	0	0	0	11	91	30	1	69	126	113	2	2	Desulfobacterota; Desulfuromonadia
8	0	0	0	2	0	255	0	4	0	102	0	1	0	0	19	90	0	0	0	2	10	0	0	0	0	0	0	0	25	0	176	50	57	0	0	Proteobacteria; Gammaproteobacteriaitrosococcalesitrosococcaceae; AqS1
32	23	0	0	0	0	0	0	24	0	6	18	9	18	38	56	0	0	1	0	5	0	36	0	33	28	0	0	5	0	1	56	255	0	0	8	Proteobacteria; Gammaproteobacteria
5	5	1	0	0	2	10	3	14	1	7	11	8	3	3	5	3	5	0	0	0	0	61	4	13	15	1	5	255	4	9	12	10	1	4	7	Firmicutes; Bacilli; Bacillales; Bacillaceae
47	6	0	0	25	23	46	0	2	2	73	29	5	4	9	13	33	4	2	0	2	13	40	4	24	7	0	0	21	30	1	188	253	39	0	21	Proteobacteria; Alphaproteobacteria; Kiloniellales; Kiloniellaceae; Pelagibius
18	14	130	0	40	251	45	7	33	27	84	12	11	8	28	52	19	3	23	134	27	3	4	1	1	0	15	45	3	62	0	27	48	52	109	12	Proteobacteria; Alphaproteobacteria; Kiloniellales; Kiloniellaceae; Pelagibius
0	0	0	1	6	3	1	0	1	1	1	0	0	0	0	0	0	29	1	14	4	2	0	5	0	0	19	7	12	0	251	0	0	2	1	0	Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
31	0	20	216	1	3	0	4	0	0	1	0	0	0	0	1	0	0	0	0	249	0	0	0	0	0	45	0	0	5	1	0	0	0	0	0	Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Microcystaceae; Synechocystis BDHKU-20401
0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	54	0	18	8	0	0	24	0	0	4	27	0	0	249	0	0	0	0	0	Actinobacteriota; Actinobacteria
42	2	2	0	157	249	18	58	2	0	20	43	6	3	27	4	2	2	0	0	0	0	57	0	1	2	0	0	69	37	0	9	18	18	0	19	Proteobacteria; Gammaproteobacteria; B2M28
103	0	4	0	22	2	0	27	1	0	75	0	0	1	0	1	0	9	0	0	249	3	0	1	0	0	0	1	0	57	0	0	1	10	175	0	Bacteroidota; Rhodothermia; Balneolales; Balneolaceae
0	0	0	0	4	0	0	1	0	3	8	0	0	0	0	0	0	0	248	0	0	7	0	74	0	0	0	0	0	12	0	0	0	60	0	0	Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
110	8	4	0	0	2	0	247	8	0	0	3	17	7	0	7	0	0	2	0	3	0	2	0	7	16	0	0	0	68	0	0	5	0	0	3	Proteobacteria; Gammaproteobacteria
1	0	24	244	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gemmatimonadota; PAUC43f marine benthic group
16	39	0	0	0	0	0	13	24	1	33	14	23	169	39	238	0	11	14	0	12	1	1	0	4	2	0	0	0	3	0	9	41	3	13	52	Proteobacteria; Gammaproteobacteria; Alteromonadales; Marinobacteraceae; Marinobacter
0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	8	0	236	0	0	0	0	0	0	0	38	0	2	0	2	1	10	0	0	Actinobacteriota; Acidimicrobiia
80	6	0	0	2	0	0	24	2	0	33	19	0	3	8	5	0	3	0	0	1	0	25	0	8	1	0	0	23	58	0	62	235	34	1	23	Proteobacteria; Gammaproteobacteria; Steroidobacterales; Woeseiaceae; Woeseia
41	0	62	235	0	1	0	7	0	0	1	0	0	0	0	0	1	0	0	1	26	0	0	0	0	0	7	0	0	18	0	2	0	0	2	1	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
109	0	0	0	15	34	59	27	2	0	16	95	5	1	25	3	4	2	0	0	0	0	97	1	0	1	0	0	234	53	3	43	63	21	1	33	Proteobacteria; Gammaproteobacteria; B2M28
0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	119	4	14	37	0	0	13	0	0	55	109	0	0	233	0	0	0	0	0	Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae; Gaiella
12	0	0	0	3	4	39	0	5	0	9	0	0	0	0	1	136	1	5	0	0	0	0	0	0	0	0	0	0	3	0	74	232	6	0	0	Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	231	0	0	0	0	1	0	0	0	0	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	230	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	5	0	Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
0	9	0	0	0	0	0	0	0	0	0	17	1	1	228	1	0	0	1	0	0	0	6	0	5	2	0	0	0	0	0	0	0	0	0	21	Verrucomicrobiota; Kiritimatiellae; Kiritimatiellales; Kiritimatiellaceae; R76-B128
71	0	0	0	40	34	78	4	1	0	40	1	0	0	0	2	38	0	0	0	0	0	0	0	0	0	0	0	0	36	0	42	226	15	0	0	Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae
1	111	0	0	0	0	0	20	34	0	0	7	59	226	6	32	1	0	10	0	2	1	5	0	8	39	0	0	0	1	0	0	0	0	0	8	Campilobacterota; Campylobacteria; Campylobacterales; Sulfurimonadaceae; Sulfurimonas
2	16	0	0	0	2	1	4	35	0	0	170	43	11	27	9	0	10	3	0	6	0	223	0	16	26	0	0	2	1	0	2	7	0	0	58	Chloroflexi; Anaerolineae
11	0	51	220	3	12	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
2	214	0	0	0	0	0	3	119	0	0	15	139	89	6	13	0	0	22	0	1	1	5	0	74	218	0	0	0	1	0	3	4	0	2	14	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Actibacter
0	0	9	2	1	2	0	0	0	1	3	1	0	0	0	1	0	0	216	0	0	0	0	0	0	0	3	3	3	2	0	0	0	3	1	0	Bacteroidota; Bacteroidia; Chitinophagales; Saprospiraceae; Lewinella
0	131	0	0	0	0	0	4	126	1	0	15	197	112	7	25	0	0	19	0	0	0	13	0	48	216	0	0	0	0	0	0	2	0	0	9	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Actibacter
7	0	0	0	216	72	22	0	1	3	41	2	0	0	0	2	10	0	13	0	0	0	0	0	0	0	0	48	0	49	0	39	25	124	1	0	Desulfobacterota; Desulfuromonadia
1	82	0	0	0	0	0	1	214	0	0	9	22	17	8	27	0	4	6	0	0	0	5	0	7	5	0	0	0	0	0	2	9	0	0	14	Proteobacteria; Gammaproteobacteria; Cellvibrionales; Halieaceae
81	2	3	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	214	74	1	21	3	Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Coleofasciculaceae; Caldora VP642b
